Placa;Renavam;Status;Nome Empresa;Nome Consórcio;Número Célula;Número Ordem;Cor;Tipo Veículo;Tipo Cadastro;Padrão Veículo;Tipo Pneu;Padrão Serviço;Número Chassi;Ano Chassi;Modelo Chassi;Modelo Carroceria;Ano Carroceria;Potência Motor;Localização Motor;Tipo Câmbio;Tipo Suspensão;Largura Porta Dianteira Esquerda;Largura Porta Dianteira Direita;Largura Porta Central Esquerda;Largura Porta Central Direita;Largura Porta Traseira Esquerda;Largura Porta Traseira Direita;Quantidade Assentos;Peso Veiculo;Capacidade Tanque1;Capacidade Tanque2;Largura Antes Roleta;Largura Apos Roleta;Comprimento Antes Roleta;Comprimento Apos Roleta;Largura Area Deficientes;Comprimento Area Deficientes;Quantidade Portas Esquerda;Quantidade Portas Direita;Quantidade de Elevador;Quantidade de Wifi;Quantidade de Ar condicionado;Quantidade de TV;Quantidade de GPS;Quantidade de Câmera;Quantidade de Validadores;Quantidade de Roleta eletronica;Quantidade de Suporte de bicicleta
HJZ5034;00182829421;Baixado;RIT: 3 - Célula: 7 - VIAÇÃO SIDON LTDA;METROPOLITANO DE TRANSPORTES;7;38015;Vermelho;Leve;Metropolitano;Midi;;Comercial;9BM384067AB676895;2009;Mbb of1418;Induscar apache u;2010;177;Dianteiro;Manual;Molas;0;90;0;0;0;130;38;14000;300;0;100;65;140;630;80;130;0;2;1;0;0;0;0;4;1;1;0
HIJ4879;00142084484;Aprovado;RIT: 2 - Célula: 4 - VIAÇÃO BELO MONTE TRANSPORTES COLETIVOS SA;UNIMINAS;4;97012;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BWRL82W49R929167;2009;Volkswagen 17.230eod;Marcopolo torino u;2009;225;Dianteiro;Manual;Molas;0;110;0;110;0;110;34;17000;300;0;85;65;100;822;80;120;0;3;1;0;0;0;0;4;1;1;0
HJA7280;00268186014;Aprovado;RIT: 2 - Célula: 4 - VIAÇÃO BELO MONTE TRANSPORTES COLETIVOS SA;UNIMINAS;4;97185;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078BB747420;2010;Mbb of1722m;Marcopolo torino u;2011;218;Dianteiro;Manual;Molas;;100;;100;;90;39;17000;300;;90;70;140;820;80;120;0;3;1;0;0;0;0;4;1;1;0
HOE9H04;00460117580;Aprovado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69153;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078CB845698;2011;Mbb of1722m;Induscar apache u;2012;218;Dianteiro;Manual;Molas;0;110;0;110;0;110;37;17000;220;0;60;65;100;822;80;120;0;3;1;0;0;0;0;3;1;1;0
HJZ5036;00183348567;Baixado;RIT: 3 - Célula: 7 - VIAÇÃO SIDON LTDA;METROPOLITANO DE TRANSPORTES;7;38016;Vermelho;Leve;Metropolitano;Midi;;Comercial;9BM384067AB676910;2009;Mbb of1418;Induscar apache u;2010;177;Dianteiro;Manual;Molas;;90;;0;;130;38;14000;300;;100;65;140;630;80;130;0;2;1;0;0;0;0;0;0;1;0
HOE9H10;00460130390;Aprovado;RIT: 3 - Célula: 6 - VIAÇÃO SANTA EDWIGES LTDA;METROPOLITANO DE TRANSPORTES;6;69154;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078CB845720;2011;Mbb of1722m;Induscar apache u;2012;218;Dianteiro;Manual;Molas;0;110;0;110;0;110;37;17000;220;0;60;65;100;822;80;120;0;3;1;0;0;0;0;3;1;1;0
LOR0697;00804367043;Baixado;RIT: 5 - Célula: 4 - S&M TRANSPORTES S/A (TURILESSA);LINHA VERDE;4;50099;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM3840733B330233;2003;Mbb of1721 euro v;Marcopolo viale u;2003;211;Dianteiro;Manual;Molas;;80;;0;;80;45;18000;300;;60;60;130;760;80;100;0;2;0;0;0;0;0;0;0;1;0
HEL7338;00461025965;Aprovado;RIT: 3 - Célula: 1 - VIAÇÃO NOVO RETIRO LTDA;METROPOLITANO DE TRANSPORTES;1;88270;Vermelho;Pesado;Metropolitano;Padron;;Convencional;9BM384078CB845783;2011;Mbb of1722m;Induscar apache u;2012;218;Dianteiro;Manual;Molas;0;95;0;115;0;115;40;17000;300;0;60;65;100;822;120;80;0;3;1;0;0;0;0;4;1;1;0
HJZ5024;00181759730;Baixado;RIT: 3 - Célula: 7 - VIAÇÃO SIDON LTDA;METROPOLITANO DE TRANSPORTES;7;38017;Vermelho;Leve;Metropolitano;Midi;;Comercial;9BM384067AB676899;2009;Mbb of1418;Induscar apache u;2010;177;Dianteiro;Manual;Molas;;90;;0;;130;38;14000;300;;100;65;65;760;80;130;0;2;1;0;0;0;0;0;0;1;0
HJA7294;00268608369;Aprovado;RIT: 2 - Célula: 4 - VIAÇÃO BELO MONTE TRANSPORTES COLETIVOS SA;UNIMINAS;4;97187;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078BB747387;2010;Mbb of1722m;Marcopolo torino u;2011;218;Dianteiro;Manual;Molas;0;100;0;100;0;100;39;17000;300;0;85;65;100;750;80;100;0;3;1;0;0;0;0;4;1;1;0
